Первая команда	Соперник	Время	Дата	Поле	Группа
ИШАЛИНО	РАЕВСКИЙ	18:10	10 июля	3	Группа I
ИНЗЕР	ПРИМОРСКИЙ	18:35	10 июля	1	Группа J
КАБАКУШ	АКЪЯР	18:35	10 июля	2	Группа K
СОВХОЗ ТАТАРСТАН	ИШМЕКЕЕВО	18:35	10 июля	3	Группа L
Соперник 1	Соперник 2	10:00	11 июля	2	1/16 финала
Соперник 1	Соперник 2	10:00	11 июля	3	1/16 финала
Соперник 1	Соперник 2	10:30	11 июля	2	1/16 финала
Соперник 1	Соперник 2	10:30	11 июля	3	1/16 финала
Соперник 1	Соперник 2	11:00	11 июля	2	1/16 финала
Соперник 1	Соперник 2	11:00	11 июля	3	1/16 финала
Соперник 1	Соперник 2	11:30	11 июля	2	1/16 финала
Соперник 1	Соперник 2	11:30	11 июля	3	1/16 финала
Соперник 1	Соперник 2	12:00	11 июля	2	1/16 финала
Соперник 1	Соперник 2	12:00	11 июля	3	1/16 финала
Соперник 1	Соперник 2	12:30	11 июля	2	1/16 финала
Соперник 1	Соперник 2	12:30	11 июля	3	1/16 финала
Соперник 1	Соперник 2	13:00	11 июля	2	1/16 финала
Соперник 1	Соперник 2	13:00	11 июля	3	1/16 финала
Соперник 1	Соперник 2	13:30	11 июля	2	1/16 финала
Соперник 1	Соперник 2	13:30	11 июля	3	1/16 финала
Соперник 1	Соперник 2	14:00	11 июля	2	1/8 финала
Соперник 1	Соперник 2	14:00	11 июля	3	1/8 финала
Соперник 1	Соперник 2	14:30	11 июля	2	1/8 финала
Соперник 1	Соперник 2	14:30	11 июля	3	1/8 финала
Соперник 1	Соперник 2	15:00	11 июля	2	1/8 финала
Соперник 1	Соперник 2	15:00	11 июля	3	1/8 финала
Соперник 1	Соперник 2	15:30	11 июля	2	1/8 финала
Соперник 1	Соперник 2	15:30	11 июля	3	1/8 финала
Соперник 1	Соперник 2	16:00	11 июля	2	1/4 финала
Соперник 1	Соперник 2	16:00	11 июля	3	1/4 финала
Соперник 1	Соперник 2	16:30	11 июля	2	1/4 финала
Соперник 1	Соперник 2	16:30	11 июля	3	1/4 финала
Соперник 1	Соперник 2	17:00	11 июля	2	Полуфинал
Соперник 1	Соперник 2	17:00	11 июля	3	Полуфинал
Соперник 1	Соперник 2	17:30	11 июля	2	Матч за 3-е место
Соперник 1	Соперник 2	18:00	11 июля	2	Финал
